NewRecord,OldRecord,Date,Site,Block,Species,Units,FlowersPerUnit,TotalFlowers,PhotoID,AvgTallestFlower,PlotMortality,Coverage,Wind ,Temperature,Sky,VacuumTime,Notes,,,,,,,,,,
435,825,07/23/15,CRC,1,ASSY,21,1,21,31-32,80,0,55,4.4,74.1,partly cloudy,3,,,,,,,,,,,
436,1355,08/05/15,CRC,4,ASSY,25,1,25,NA,79,0,50,1.2,70.5,clear,4,,,,,,,,,,,
437,1427,08/11/15,CRC,4,ASSY,43,1,43,183-184,86,0,60,5.2,74,partly cloudy,7,,,,,,,,,,,
438,827,07/23/15,CRC,1,ASTU,171,1,171,38-39,40,0,35,4.4,74.1,partly cloudy,9,,,,,,,,,,,
439,840,07/23/15,CRC,2,ASTU,196,1,196,NA,41,0,60,4.4,74.1,partly cloudy,9,accidentally labeled as ASVE! Check/change labels in bag!,,,,,,,,,,
440,856,07/23/15,CRC,3,ASTU,269,1,269,NA,51,0,30,4.4,74.1,partly cloudy,15,,,,,,,,,,,
441,869,07/23/15,CRC,4,ASTU,121,1,121,NA,46,0,50,4.4,74.1,partly cloudy,8,,,,,,,,,,,
442,1007,07/31/15,CRC,2,ASTU,24,27.4,657.6,NA,47,0,45,4.1,68.8,clear,14,too windy for pictures,,,,,,,,,,
443,1024,07/31/15,CRC,4,ASTU,30,27.4,822,NA,63,0,50,4.1,68.8,clear,11,,,,,,,,,,,
444,1038,07/31/15,CRC,3,ASTU,25,27.4,685,NA,56,1,35,4.1,68.8,clear,12,,,,,,,,,,,
445,1067,07/31/15,CRC,1,ASTU,9,27.4,246.6,NA,28,0,35,4.1,68.8,clear,10,,,,,,,,,,,
446,1305,08/05/15,CRC,1,ASTU,8,35,280,220-224,30,0,40,1.2,70.5,clear,8,,,,,,,,,,,
447,1317,08/05/15,CRC,2,ASTU,16,35,560,NA,51,0,40,1.2,70.5,clear,9,,,,,,,,,,,
448,1323,08/05/15,CRC,3,ASTU,8,35,280,NA,43,0,35,1.2,70.5,clear,12,,,,,,,,,,,
449,1349,08/05/15,CRC,4,ASTU,127,1,127,NA,58,0,70,1.2,70.5,clear,21,,,,,,,,,,,
450,1309,08/05/15,CRC,1,ASVE,178,15.4,2741.2,245-249,69,0,90,1.2,70.5,clear,29,,,,,,,,,,,
451,1322,08/05/15,CRC,3,ASVE,141,15.4,2171.4,NA,64,0,70,1.2,70.5,clear,25,,,,,,,,,,,
452,1356,08/05/15,CRC,4,ASVE,70,15.4,1078,NA,67,0,55,1.2,70.5,clear,16,,,,,,,,,,,
453,1364,08/05/15,CRC,2,ASVE,70,15.4,1078,NA,62,0,50,1.2,70.5,clear,15,,,,,,,,,,,
454,1384,08/11/15,CRC,1,ASVE,289,19.2,5548.8,143-147,75,0,100,5.2,74,partly cloudy,26,lost 2 cantharids,,,,,,,,,,
455,1396,08/11/15,CRC,2,ASVE,113,19.2,2169.6,NA,67,0,55,5.2,74,partly cloudy,23,,,,,,,,,,,
456,1403,08/11/15,CRC,3,ASVE,193,19.2,3705.6,NA,64,0,90,5.2,74,partly cloudy,26,lost 4 cantharids,,,,,,,,,,
457,1421,08/11/15,CRC,4,ASVE,126,19.2,2419.2,NA,67,0,55,5.2,74,partly cloudy,21,,,,,,,,,,,
458,1589,08/18/15,CRC,1,ASVE,228,9.8,2234.4,466-470,69,0,95,4,80.2,partly cloudy,36,,,,,,,,,,,
459,1600,08/18/15,CRC,2,ASVE,51,9.8,499.8,NA,68,0,70,4,80.2,partly cloudy,30,6 monarchs - 5 in one photo,,,,,,,,,,
460,1607,08/18/15,CRC,3,ASVE,119,9.8,1166.2,NA,72,0,90,4,80.2,partly cloudy,36,,,,,,,,,,,
461,1628,08/18/15,CRC,4,ASVE,185,9.8,1813,NA,69,0,80,4,80.2,partly cloudy,27,,,,,,,,,,,
462,1020,07/31/15,CRC,2,CARO2,8,1,8,NA,33,1,18,4.1,68.8,clear,4,,,,,,,,,,,
463,1363,08/05/15,CRC,2,CARO2,5,1,5,289-293,29,1,10,1.2,70.5,clear,4,,,,,,,,,,,
464,1398,08/11/15,CRC,2,CARO2,10,1,10,173-177,34,1,15,5.2,74,partly cloudy,4,,,,,,,,,,,
465,839,07/23/15,CRC,2,CESTM,22,1,22,100-104,110,0,45,4.4,74.1,partly cloudy,17,,,,,,,,,,,
466,1376,08/11/15,CRC,1,CESTM,89,1,89,103-107,50,0,80,5.2,74,partly cloudy,22,,,,,,,,,,,
467,1390,08/11/15,CRC,2,CESTM,88,1,88,NA,85,0,70,5.2,74,partly cloudy,22,,,,,,,,,,,
468,1412,08/11/15,CRC,3,CESTM,53,1,53,NA,68,0,50,5.2,74,partly cloudy,17,,,,,,,,,,,
469,1418,08/11/15,CRC,4,CESTM,112,1,112,NA,73,0,80,5.2,74,partly cloudy,23,,,,,,,,,,,
470,1580,08/18/15,CRC,1,CESTM,88,1,88,431-435,46,0,65,4,80.2,partly cloudy,28,,,,,,,,,,,
471,1594,08/18/15,CRC,2,CESTM,90,1,90,NA,43,0,70,4,80.2,partly cloudy,18,,,,,,,,,,,
472,1622,08/18/15,CRC,3,CESTM,48,1,48,NA,45,0,45,4,80.2,partly cloudy,15,,,,,,,,,,,
473,1624,08/18/15,CRC,4,CESTM,123,1,123,NA,61,0,90,4,80.2,partly cloudy,28,,,,,,,,,,,
474,1836,08/28/15,CRC,1,CESTM,83,1,83,180-184,58,0,85,1.7,66,partly cloudy,20,,,,,,,,,,,
475,1848,08/28/15,CRC,2,CESTM,64,1,64,NA,62,0,75,1.7,66,partly cloudy,17,,,,,,,,,,,
476,1870,08/28/15,CRC,3,CESTM,21,1,21,NA,39,0,45,1.7,66,partly cloudy,9,,,,,,,,,,,
477,1890,08/28/15,CRC,4,CESTM,107,1,107,NA,40,0,80,1.7,66,partly cloudy,27,,,,,,,,,,,
478,1076,07/31/15,CRC,1,CHANA2,11,1,11,NA,33,2,12,4.1,68.8,clear,5,,,,,,,,,,,
479,1312,08/05/15,CRC,1,CHANA2,31,1,31,265-269,42,2,20,1.2,70.5,clear,6,,,,,,,,,,,
480,1379,08/11/15,CRC,1,CHANA2,26,1,26,118-122,34,2,20,5.2,74,partly cloudy,6,,,,,,,,,,,
481,76,06/09/15,CRC,1,COLA5,NA,NA,40,226-230,82.3,NA,NA,NA,NA,NA,30,,,,,,,,,,,
482,77,06/09/15,CRC,2,COLA5,NA,NA,21,231-235,51.6,NA,NA,NA,NA,NA,22,,,,,,,,,,,
483,87,06/09/15,CRC,3,COLA5,NA,NA,33,281-285,64.5,NA,NA,NA,NA,NA,21,,,,,,,,,,,
485,166,06/16/15,CRC,1,COLA5,178,1,178,50-54,83,0,100,8,70-75,clear,24,,,,,,,,,,,
486,169,06/16/15,CRC,2,COLA5,65,1,65,65-69,59.1,1,70,8,70-75,clear,19,,,,,,,,,,,
487,175,06/16/15,CRC,3,COLA5,156,1,156,75-79,70,0,100,8,70-79,clear,26,,,,,,,,,,,
488,181,06/16/15,CRC,4,COLA5,25,1,25,105-109,58.5,1,50,8,70-85,clear,10,,,,,,,,,,,
489,412,06/29/15,CRC,1,COLA5,48,1,48,29-33,67.5,0,100,,,cloudy,27,,,,,,,,,,,
490,418,06/29/15,CRC,2,COLA5,40,1,40,NA,55,1,80,,,cloudy,23,,,,,,,,,,,
491,423,06/29/15,CRC,3,COLA5,64,1,64,NA,63,0,100,,,cloudy,29,,,,,,,,,,,
492,435,06/29/15,CRC,4,COLA5,11,1,11,NA,43,1,50,,,cloudy,16,,,,,,,,,,,
493,492,07/06/15,CRC,1,COPA10,10,1,10,79-83,70.5,0,35,,,,11,,,,,,,,,,,
494,497,07/06/15,CRC,2,COPA10,14,1,14,NA,88,0,40,,,,15,,,,,,,,,,,
495,680,07/16/15,CRC,1,COPA10,26,1,26,90-94,75,0,35,3.1,69,cloudy,18,,,,,,,,,,,
496,691,07/16/15,CRC,2,COPA10,46,1,46,NA,89,0,50,3.1,69,cloudy,25,,,,,,,,,,,
497,836,07/23/15,CRC,1,COPA10,28,1,28,85-89,79,0,40,4.4,74.1,partly cloudy,21,,,,,,,,,,,
498,844,07/23/15,CRC,2,COPA10,21,1,21,NA,92,0,50,4.4,74.1,partly cloudy,18,,,,,,,,,,,
499,1587,08/18/15,CRC,1,COTR4,195,1,195,456-460,169,0,75,4,80.2,partly cloudy,35,,,,,,,,,,,
500,1601,08/18/15,CRC,2,COTR4,130,1,130,NA,158,0,100,4,80.2,partly cloudy,28,,,,,,,,,,,
501,1619,08/18/15,CRC,3,COTR4,255,1,255,NA,180,0,95,4,80.2,partly cloudy,38,,,,,,,,,,,
502,1635,08/18/15,CRC,4,COTR4,147,1,147,NA,159,0,80,4.8,80.4,partly cloudy,23,,,,,,,,,,,
503,1842,08/28/15,CRC,1,COTR4,347,1,347,210-214,181,0,100,1.7,66,partly cloudy,42,,,,,,,,,,,
504,1857,08/28/15,CRC,2,COTR4,314,1,314,NA,172,0,100,1.7,66,partly cloudy,66,,,,,,,,,,,
505,1866,08/28/15,CRC,3,COTR4,493,1,493,NA,174,0,100,1.7,66,partly cloudy,43,,,,,,,,,,,
506,1880,08/28/15,CRC,4,COTR4,494,1,494,NA,168,0,100,1.7,66,partly cloudy,32,,,,,,,,,,,
507,2008,09/03/15,CRC,1,COTR4,213,1,213,NA,186,1,50,,,,31,,,,,,,,,,,
508,2016,09/03/15,CRC,2,COTR4,336,1,336,NA,172,0,80,,,,37,,,,,,,,,,,
509,2030,09/03/15,CRC,3,COTR4,319,1,319,NA,176,0,99,,,,32,,,,,,,,,,,
510,2041,09/03/15,CRC,4,COTR4,537,1,537,NA,167,0,80,,,,39,,,,,,,,,,,
511,1385,08/11/15,CRC,1,DAFR6,197,1,197,148-152,55,0,90,5.2,74,partly cloudy,27,,,,,,,,,,,
512,1388,08/11/15,CRC,2,DAFR6,135,1,135,NA,39,0,65,5.2,74,partly cloudy,32,,,,,,,,,,,
513,1416,08/11/15,CRC,3,DAFR6,44,1,44,NA,60,2,35,5.2,74,partly cloudy,11,,,,,,,,,,,
514,1428,08/11/15,CRC,4,DAFR6,15,1,15,NA,26,0,45,5.2,74,partly cloudy,11,,,,,,,,,,,
515,1590,08/18/15,CRC,1,DAFR6,183,1,183,471-475,45,0,75,4,80.2,partly cloudy,26,japanese beetles present,,,,,,,,,,
516,1592,08/18/15,CRC,2,DAFR6,158,1,158,NA,38,0,75,4,80.2,partly cloudy,23,japanese beetles present,,,,,,,,,,
517,1614,08/18/15,CRC,3,DAFR6,59,1,59,NA,56,2,30,4,80.2,partly cloudy,13,,,,,,,,,,,
518,1637,08/18/15,CRC,4,DAFR6,29,1,29,NA,31,0,40,4.8,80.4,partly cloudy,10,,,,,,,,,,,
519,1844,08/28/15,CRC,1,DAFR6,405,1,405,220-224,54,0,80,1.7,66,partly cloudy,37,,,,,,,,,,,
520,1846,08/28/15,CRC,2,DAFR6,265,1,265,NA,40,0,75,1.7,66,partly cloudy,30,,,,,,,,,,,
521,1874,08/28/15,CRC,4,DAFR6,95,1,95,NA,31,0,50,1.7,66,partly cloudy,15,,,,,,,,,,,
522,1889,08/28/15,CRC,3,DAFR6,136,1,136,NA,54,2,35,1.7,66,partly cloudy,15,,,,,,,,,,,
523,2145,09/10/15,CRC,1,DAPU5,14,1,14,6--10,59,2,25,,,partly cloudy/clear,8,,,,,,,,,,,
524,2148,09/10/15,CRC,2,DAPU5,23,1,23,NA,67,0,45,,,partly cloudy/clear,10,,,,,,,,,,,
525,2154,09/10/15,CRC,3,DAPU5,68,1,68,NA,59,1,20,,,partly cloudy/clear,12,,,,,,,,,,,
526,2158,09/10/15,CRC,4,DAPU5,41,1,41,NA,69,1,50,,,partly cloudy/clear,15,,,,,,,,,,,
527,2237,09/17/15,CRC,1,DAPU5,19,1,19,NA,48,1,25,,,clear,7,,,,,,,,,,,
528,2241,09/17/15,CRC,2,DAPU5,34,1,34,NA,67,0,45,,,clear,12,,,,,,,,,,,
529,2248,09/17/15,CRC,3,DAPU5,76,1,76,NA,62,1,25,,,clear,9,,,,,,,,,,,
530,2254,09/17/15,CRC,4,DAPU5,49,1,49,NA,70,1,45,,,clear,12,,,,,,,,,,,
531,2339,09/24/15,CRC,1,DAPU5,28,1,28,NA,49,1,25,,,partly cloudy,12,,,,,,,,,,,
532,2343,09/24/15,CRC,2,DAPU5,41,1,41,NA,65,0,45,,,partly cloudy,19,,,,,,,,,,,
533,2350,09/24/15,CRC,3,DAPU5,39,1,39,NA,60,1,25,,,partly cloudy,9,,,,,,,,,,,
534,1381,08/11/15,CRC,1,ECPU,44,1,44,128-132,136,0,75,5.2,74,partly cloudy,28,,,,,,,,,,,
535,1401,08/11/15,CRC,2,ECPU,38,1,38,NA,91,0,80,5.2,74,partly cloudy,28,,,,,,,,,,,
536,1413,08/11/15,CRC,3,ECPU,35,1,35,NA,96,0,55,5.2,74,partly cloudy,26,,,,,,,,,,,
537,1422,08/11/15,CRC,4,ECPU,22,1,22,NA,68,0,70,5.2,74,partly cloudy,19,,,,,,,,,,,
538,1584,08/18/15,CRC,1,ECPU,57,1,57,451-455,15,0,60,4,80.2,partly cloudy,34,,,,,,,,,,,
539,1606,08/18/15,CRC,2,ECPU,30,1,30,NA,89,0,80,4,80.2,partly cloudy,26,,,,,,,,,,,
540,1621,08/18/15,CRC,3,ECPU,37,1,37,NA,94,0,75,4,80.2,partly cloudy,23,,,,,,,,,,,
541,1634,08/18/15,CRC,4,ECPU,24,1,24,NA,127,0,85,4.8,80.4,partly cloudy,44,,,,,,,,,,,
542,1841,08/28/15,CRC,1,ECPU,69,1,69,205-209,117,0,60,1.7,66,partly cloudy,37,,,,,,,,,,,
543,1854,08/28/15,CRC,2,ECPU,36,1,36,NA,87,0,75,1.7,66,partly cloudy,21,,,,,,,,,,,
544,1868,08/28/15,CRC,3,ECPU,40,1,40,NA,95,0,65,1.7,66,partly cloudy,26,,,,,,,,,,,
545,1878,08/28/15,CRC,4,ECPU,36,1,36,NA,83,0,80,1.7,66,partly cloudy,27,,,,,,,,,,,
546,1378,08/11/15,CRC,1,ERYU,71,1,71,113-117,134,0,80,5.2,74,partly cloudy,22,,,,,,,,,,,
547,1400,08/11/15,CRC,2,ERYU,89,1,89,NA,132,0,95,5.2,74,partly cloudy,25,,,,,,,,,,,
548,1411,08/11/15,CRC,3,ERYU,77,1,77,NA,123,0,90,5.2,74,partly cloudy,27,,,,,,,,,,,
549,1420,08/11/15,CRC,4,ERYU,138,1,138,NA,126,0,90,5.2,74,partly cloudy,31,,,,,,,,,,,
550,1582,08/18/15,CRC,1,ERYU,44,1,44,441-445,129,0,75,4,80.2,partly cloudy,26,,,,,,,,,,,
551,1604,08/18/15,CRC,2,ERYU,31,1,31,NA,127,0,95,4,80.2,partly cloudy,32,,,,,,,,,,,
552,1623,08/18/15,CRC,3,ERYU,50,1,50,NA,116,0,85,4,80.2,partly cloudy,32,,,,,,,,,,,
553,1629,08/18/15,CRC,4,ERYU,53,1,53,NA,127,0,85,4.8,80.4,partly cloudy,44,,,,,,,,,,,
554,1845,08/28/15,CRC,1,ERYU,99,1,99,190-194,132,0,80,1.7,66,partly cloudy,30,,,,,,,,,,,
555,1855,08/28/15,CRC,2,ERYU,98,1,98,NA,128,0,80,1.7,66,partly cloudy,28,,,,,,,,,,,
556,1869,08/28/15,CRC,3,ERYU,178,1,178,NA,129,0,90,1.7,66,partly cloudy,29,,,,,,,,,,,
557,1876,08/28/15,CRC,4,ERYU,176,1,176,NA,121,0,90,1.7,66,partly cloudy,23,,,,,,,,,,,
558,2005,09/03/15,CRC,1,ERYU,24,1,24,NA,114,0,58,,,,30,,,,,,,,,,,
559,1583,08/18/15,CRC,1,HEOC2,213,1,213,446-450,112,0,90,4,80.2,partly cloudy,37,,,,,,,,,,,
560,1593,08/18/15,CRC,2,HEOC2,91,1,91,NA,121,0,75,4,80.2,partly cloudy,28,,,,,,,,,,,
561,1611,08/18/15,CRC,3,HEOC2,157,1,157,NA,93,0,95,4,80.2,partly cloudy,21,,,,,,,,,,,
562,1626,08/18/15,CRC,4,HEOC2,15,1,15,NA,111,0,95,4,80.2,partly cloudy,25,,,,,,,,,,,
563,1839,08/28/15,CRC,1,HEOC2,253,1,253,200-204,107,0,85,1.7,66,partly cloudy,42,,,,,,,,,,,
564,1847,08/28/15,CRC,2,HEOC2,175,1,175,NA,126,0,100,1.7,66,partly cloudy,45,,,,,,,,,,,
565,1864,08/28/15,CRC,3,HEOC2,212,1,212,NA,94,0,100,1.7,66,partly cloudy,23,,,,,,,,,,,
566,1872,08/28/15,CRC,4,HEOC2,193,1,193,NA,92,0,100,1.7,66,partly cloudy,26,,,,,,,,,,,
567,2006,09/03/15,CRC,1,HEOC2,88,1,88,NA,89,0,90,,,,36,,,,,,,,,,,
568,2011,09/03/15,CRC,2,HEOC2,141,1,141,NA,126,0,88,,,,32,,,,,,,,,,,
569,2024,09/03/15,CRC,3,HEOC2,105,1,105,NA,90,0,100,,,,29,,,,,,,,,,,
570,2036,09/03/15,CRC,4,HEOC2,157,1,157,NA,94,0,95,,,,25,,,,,,,,,,,
571,31,06/02/15,CRC,2,HERI,NA,NA,52,,87,NA,NA,NA,NA,NA,,,,,,,,,,,,
572,81,06/09/15,CRC,2,HERI,NA,NA,10,256-260,71.4,NA,NA,NA,NA,NA,7,,,,,,,,,,,
573,85,06/09/15,CRC,3,HERI,NA,NA,32,266-270,80.1,NA,NA,NA,NA,NA,10,lots of buds,,,,,,,,,,
574,89,06/09/15,CRC,4,HERI,NA,NA,23,296-300,65,NA,NA,NA,NA,NA,10,,,,,,,,,,,
576,185,06/16/15,CRC,4,HERI,93,1,93,120-124,67,0,10,8,70-75,clear,4,2 plants eaten,,,,,,,,,,
577,187,06/16/15,CRC,3,HERI,62,1,62,125-129,81.5,0,20,8,70-75,clear,7,little bit of predation,,,,,,,,,,
578,188,06/16/15,CRC,2,HERI,16,1,16,130-134,63,0,,8,70-75,clear,16,"predation, only 1 plant w/ flowers",,,,,,,,,,
580,1577,08/18/15,CRC,1,HEST,141,1,141,415-419,149,0,100,4,80.2,partly cloudy,49,,,,,,,,,,,
581,1598,08/18/15,CRC,2,HEST,137,1,137,NA,196,0,100,4,80.2,partly cloudy,57,,,,,,,,,,,
582,1620,08/18/15,CRC,3,HEST,325,1,325,NA,187,0,100,4,80.2,partly cloudy,54,,,,,,,,,,,
583,1631,08/18/15,CRC,4,HEST,80,1,80,NA,135,0,100,4.8,80.4,partly cloudy,36,,,,,,,,,,,
584,1834,08/28/15,CRC,1,HEST,154,1,154,165-169,158,0,100,1.7,66,partly cloudy,63,,,,,,,,,,,
585,1852,08/28/15,CRC,2,HEST,206,1,206,NA,199,0,100,1.7,66,partly cloudy,83,,,,,,,,,,,
586,1867,08/28/15,CRC,3,HEST,522,1,522,NA,182,0,100,1.7,66,partly cloudy,94,,,,,,,,,,,
587,1873,08/28/15,CRC,4,HEST,208,1,208,NA,150,0,100,1.7,66,partly cloudy,43,,,,,,,,,,,
588,2000,09/03/15,CRC,1,HEST,160,1,160,NA,142,0,100,,,,46,,,,,,,,,,,
589,2015,09/03/15,CRC,2,HEST,150,1,150,NA,194,0,95,,,,66,,,,,,,,,,,
590,2029,09/03/15,CRC,3,HEST,414,1,414,NA,184,0,100,,,,44,,,,,,,,,,,
591,2032,09/03/15,CRC,4,HEST,324,1,324,NA,156,0,100,,,,40,,,,,,,,,,,
592,823,07/23/15,CRC,1,HIGR3,22,1,22,21-25,65.5,2,10,4.4,74.1,partly cloudy,7,,,,,,,,,,,
593,875,07/23/15,CRC,4,HIGR3,6,1,6,NA,57,0,15,4.4,74.1,partly cloudy,4,"no flowers open, still vacuumed",,,,,,,,,,
594,1057,07/31/15,CRC,4,HIGR3,17,1,17,NA,61,0,15,4.1,68.8,clear,8,,,,,,,,,,,
595,1063,07/31/15,CRC,1,HIGR3,20,1,20,NA,49,1,10,4.1,68.8,clear,8,"no photos, flowers closed",,,,,,,,,,
596,1297,08/05/15,CRC,1,HIGR3,13,1,13,NA,61,0,20,1.2,70.5,clear,8,,,,,,,,,,,
597,1338,08/05/15,CRC,4,HIGR3,13,1,13,309-313,47,0,20,1.2,70.5,clear,7,,,,,,,,,,,
598,2151,09/10/15,CRC,2,HYPR,16,1,16,11--15,57,0,55,,,partly cloudy/clear,3,,,,,,,,,,,
599,2153,09/10/15,CRC,3,HYPR,11,1,11,NA,64,0,50,,,partly cloudy/clear,6,,,,,,,,,,,
600,2240,09/17/15,CRC,2,HYPR,12,1,12,NA,64,0,50,,,clear,5,,,,,,,,,,,
601,2247,09/17/15,CRC,3,HYPR,7,1,7,NA,73,0,50,,,clear,3,,,,,,,,,,,
602,2347,09/24/15,CRC,2,HYPR,12,1,12,NA,63,0,55,,,partly cloudy,6,,,,,,,,,,,
603,2239,09/17/15,CRC,1,LIAS,19,1,19,NA,77,1,15,,,clear,5,,,,,,,,,,,
604,2250,09/17/15,CRC,3,LIAS,36,1,36,NA,77,2,20,,,clear,6,,,,,,,,,,,
605,2342,09/24/15,CRC,1,LIAS,37,1,37,NA,65,1,15,,,partly cloudy,9,,,,,,,,,,,
606,2352,09/24/15,CRC,3,LIAS,68,1,68,NA,74,2,15,,,partly cloudy,13,,,,,,,,,,,
607,1397,08/11/15,CRC,2,LICY,14,1,14,168-172,40,0,20,5.2,74,partly cloudy,5,,,,,,,,,,,
608,1588,08/18/15,CRC,1,LICY,17,1,17,461-465,31,2,10,4,80.2,partly cloudy,5,,,,,,,,,,,
609,1605,08/18/15,CRC,2,LICY,8,1,8,NA,31,0,20,4,80.2,partly cloudy,9,,,,,,,,,,,
610,1638,08/18/15,CRC,4,LICY,10,1,10,NA,29,0,15,4.8,80.4,partly cloudy,4,,,,,,,,,,,
611,1843,08/28/15,CRC,1,LICY,20,1,20,215-219,36,2,10,1.7,66,partly cloudy,4,,,,,,,,,,,
612,1860,08/28/15,CRC,2,LICY,6,1,6,NA,30,2,10,1.7,66,partly cloudy,5,,,,,,,,,,,
613,489,07/06/15,CRC,1,LOCO6,205,6,1230,64-68,28,1,85,,,,18,,,,,,,,,,,
614,495,07/06/15,CRC,2,LOCO6,165,6,990,NA,25.5,1,95,,,,18,,,,,,,,,,,
615,506,07/06/15,CRC,3,LOCO6,137,6,822,NA,32,1,95,,,,15,,,,,,,,,,,
616,509,07/06/15,CRC,4,LOCO6,426,6,2556,NA,40.5,0,100,,,,,,,,,,,,,,,
617,674,07/16/15,CRC,1,LOCO6,286,4.4,1258.4,NA,33,0,95,3.1,69,cloudy,18,,,,,,,,,,,
618,687,07/16/15,CRC,2,LOCO6,385,4.4,1694,NA,23,0,100,3.1,69,cloudy,25,,,,,,,,,,,
619,697,07/16/15,CRC,3,LOCO6,275,4.4,1210,NA,32,0,100,3.1,69,cloudy,27,,,,,,,,,,,
620,706,07/16/15,CRC,4,LOCO6,384,4.4,1689.6,NA,40,0,100,3.1,69,cloudy,24,,,,,,,,,,,
621,828,07/23/15,CRC,1,LOCO6,336,5,1680,40-44,37.5,0,100,4.4,74.1,partly cloudy,21,,,,,,,,,,,
622,848,07/23/15,CRC,2,LOCO6,296,5,1480,NA,33,0,100,4.4,74.1,partly cloudy,30,,,,,,,,,,,
623,857,07/23/15,CRC,3,LOCO6,263,5,1315,NA,42,0,100,4.4,74.1,partly cloudy,26,,,,,,,,,,,
624,874,07/23/15,CRC,4,LOCO6,169,5,845,NA,38,0,100,4.4,74.1,partly cloudy,34,,,,,,,,,,,
625,682,07/16/15,CRC,1,MOFI,78,1,78,100-104,72,1,80,3.1,69,cloudy,20,,,,,,,,,,,
626,689,07/16/15,CRC,2,MOFI,259,1,259,NA,100,0,100,3.1,69,cloudy,38,,,,,,,,,,,
627,698,07/16/15,CRC,3,MOFI,51,1,51,NA,88,0,75,3.1,69,cloudy,17,,,,,,,,,,,
628,705,07/16/15,CRC,4,MOFI,252,1,252,NA,114,0,90,3.1,69,cloudy,38,,,,,,,,,,,
629,834,07/23/15,CRC,1,MOFI,184,1,184,74-78,98,0,60,4.4,74.1,partly cloudy,31,,,,,,,,,,,
630,847,07/23/15,CRC,2,MOFI,331,1,331,NA,99,0,100,4.4,74.1,partly cloudy,38,,,,,,,,,,,
631,858,07/23/15,CRC,3,MOFI,76,1,76,NA,89,0,75,4.4,74.1,partly cloudy,17,,,,,,,,,,,
632,877,07/23/15,CRC,4,MOFI,315,1,315,NA,114,0,95,4.4,74.1,partly cloudy,65,,,,,,,,,,,
633,1022,07/31/15,CRC,2,MOFI,127,1,127,NA,99,0,85,4.1,68.8,clear,27,,,,,,,,,,,
634,1033,07/31/15,CRC,1,MOFI,162,1,162,NA,99,0,70,4.1,68.8,clear,22,,,,,,,,,,,
635,1041,07/31/15,CRC,3,MOFI,61,1,61,NA,86,0,55,4.1,68.8,clear,17,,,,,,,,,,,
636,1058,07/31/15,CRC,4,MOFI,149,1,149,NA,113,0,85,4.1,68.8,clear,32,,,,,,,,,,,
637,1032,07/31/15,CRC,1,MOPU,106,9.6,1017.6,NA,46,0,30,4.1,68.8,clear,19,,,,,,,,,,,
638,1311,08/05/15,CRC,1,MOPU,139,8.2,1139.8,260-264,53,0,50,1.2,70.5,clear,23,,,,,,,,,,,
639,1386,08/11/15,CRC,1,MOPU,176,5.8,1020.8,153-162,127,0,50,5.2,74,partly cloudy,25,,,,,,,,,,,
640,501,07/06/15,CRC,3,OEFR,24,1,24,104-108,46.5,0,60,,,,12,,,,,,,,,,,
641,673,07/16/15,CRC,1,OEFR,7,1,7,66-70,21.5,1,20,3.1,69,cloudy,4,,,,,,,,,,,
642,701,07/16/15,CRC,3,OEFR,96,1,96,NA,59,0,40,3.1,69,cloudy,22,,,,,,,,,,,
643,822,07/23/15,CRC,1,OEFR,12,1,12,16-20,28.5,1,25,4.4,74.1,partly cloudy,6,,,,,,,,,,,
644,864,07/23/15,CRC,3,OEFR,24,1,24,NA,46,0,35,4.4,74.1,partly cloudy,16,label says DAFR6 (oops!),,,,,,,,,,
645,1835,08/28/15,CRC,1,OLRI,220,16.8,3696,170-174,152,1,75,1.7,66,partly cloudy,31,,,,,,,,,,,
646,1849,08/28/15,CRC,2,OLRI,112,16.8,1881.6,NA,125,0,65,1.7,66,partly cloudy,29,,,,,,,,,,,
647,1865,08/28/15,CRC,3,OLRI,129,16.8,2167.2,NA,114,0,70,1.7,66,partly cloudy,32,,,,,,,,,,,
648,1875,08/28/15,CRC,4,OLRI,171,16.8,2872.8,NA,121,1,95,1.7,66,partly cloudy,35,,,,,,,,,,,
649,2002,09/03/15,CRC,1,OLRI,200,15.2,3040,NA,153,0,80,,,,34,,,,,,,,,,,
650,2012,09/03/15,CRC,2,OLRI,142,15.2,2158.4,NA,125,0,70,,,,22,,,,,,,,,,,
651,2031,09/03/15,CRC,3,OLRI,150,15.2,2280,NA,111,1,65,,,,29,,,,,,,,,,,
652,2035,09/03/15,CRC,4,OLRI,248,15.2,3769.6,NA,112,0,70,,,,30,,,,,,,,,,,
653,2143,09/10/15,CRC,1,OLRI,171,19.6,3351.6,NA,137,1,90,,,partly cloudy/clear,24,,,,,,,,,,,
654,2147,09/10/15,CRC,2,OLRI,102,1,102,NA,123,0,30,,,partly cloudy/clear,13,,,,,,,,,,,
655,2157,09/10/15,CRC,3,OLRI,46,19.6,901.6,NA,95,1,50,,,partly cloudy/clear,17,,,,,,,,,,,
656,2159,09/10/15,CRC,4,OLRI,149,19.6,2920.4,NA,99,1,80,,,partly cloudy/clear,23,,,,,,,,,,,
657,162,06/16/15,CRC,1,PEDI,134,1,134,25-29,83,0,40,8,70-75,clear,17,,,,,,,,,,,
658,170,06/16/15,CRC,2,PEDI,203,1,203,70-74,103.5,0,60,8,70-75,clear,31,,,,,,,,,,,
